,Youtube Links,Channel Name
0,https://www.youtube.com/c/OpeninApp,OpeninApp
1,https://www.youtube.com/channel/UCIGDcUqL2kKMdJCpIr_dfxg,OpeninApp
2,https://www.youtube.com/hashtag/openinapp,Inspiring Prashant
3,https://www.youtube.com/watch?v=vOo-VyPIiW0,spksunny
4,https://www.youtube.com/watch?v=O6lup3SN4Bw,OpeninApp
5,https://www.youtube.com/watch?v=Njo_GPYbTvY,Inspiring Prashant
6,https://www.youtube.com/watch?v=zEd9C0eRwzY,OpeninApp
7,https://www.youtube.com/watch?v=dd02GPhhNhQ,OpeninApp
8,https://www.youtube.com/watch?v=pS-3W8KHj4k,Urjita Wani
9,https://www.youtube.com/post/UgkxkNMzcb3UCWm4sfl1TtmpUE9eRv_qGnSj,
10,https://www.youtube.com/post/Ugkxe2GrB63zOanTOsRv6n75Q6wJdNSXnqAi,
11,https://www.youtube.com/post/UgkxvxeOVISLxaPkK0XyP2zDBrqTfdJ36ULb,12th Man Malayalam
12,https://www.youtube.com/post/UgkxzL6nM2d56_PdVjzr6AybtYTvXslbasTH,
13,https://www.youtube.com/watch?v=6vVpCXAtbvs,Prasadtechintelugu
14,https://www.youtube.com/watch?v=cOrP4H_IEqw,Manoj Dey Vlogs
15,https://www.youtube.com/post/UgkxjsvwKZJQN6a5Uzy8tb8Fm-4q5xKVs-Md,Manoj Dey Vlogs
16,https://www.youtube.com/watch?v=zy0ih5i5tCM,Money Purse { మనీ పర్స్ }
17,https://www.youtube.com/post/UgkxiKn-5Vm37sw8n-8DnMpuFF_RP-POu6qH,U Brand
18,https://www.youtube.com/post/UgkxdKMFMjFHAE8yFCxwgkBSOQPZm2Xls1GC,
19,https://www.youtube.com/post/UgkxLoaCezUF1bnP2SXKx5ROkA-tEdpMjHU3,
20,https://www.youtube.com/post/UgkxWxe0Nj-i7RSxgdD9guwk99XYHM00gA_q,
21,https://www.youtube.com/post/UgkxX8SkBbsI6VP31--wEwxXSXNsFT2C9qQf,Deepak Tabla 2.0
22,https://www.youtube.com/post/UgkxakqJlUfOZDGAff8Fsb1dMGgBPWt7dhVl,Super Trader Lakshya
23,https://www.youtube.com/watch?v=zJsAECXaPYU,Manoj Dey Vlogs
24,https://www.youtube.com/watch?v=glnplLdbuj0,Manoj Dey Vlogs
25,https://www.youtube.com/post/UgkxH1efibpiSulaCWsw9mQIQ1FUkYnvPacM,
26,https://www.youtube.com/watch?v=J_A5UE2_6Zs,OpeninApp
27,https://www.youtube.com/watch?v=s0eUGZVDdxU,Urjita Wani
28,https://www.youtube.com/post/Ugkx9OVj5fKxWG8lYhakpD62aM8roJjl5JXC,Manoj Dey Vlogs
29,https://www.youtube.com/post/Ugkxw55hXFcVZR5svtS82dNr28NWVDifg1O0,
30,https://www.youtube.com/channel/UCT2xzagsBVtStUCA2ulvKmQ/community?lc=UgzwoTgfJuEjk5xfVJB4AaABAg&lb=UgkxRr0r_-PECgQZa99yjufWKBvKcb19MEHd,Manoj Dey Vlogs
31,https://www.youtube.com/watch?v=x6nrchdG_5k,DANCE TO DANCE
32,https://www.youtube.com/post/Ugkxx8mBGJtFMG4Bvy6OedBmnkyyO64h-1N7,
33,https://www.youtube.com/c/TradingwithGroww?app=desktop,Trading with Groww
34,https://www.youtube.com/post/UgkxTCkLRMjyhpK6c-EeRTNo9ZUmDsxvuWMm,
35,https://www.youtube.com/c/TheCrazySk/community,Thecrazysk
36,https://www.youtube.com/watch?v=LG8VCuGEOxU,DAY TRADER తెలుగు
37,https://www.youtube.com/post/UgkxtGWVDRROHIq4ZbODw5x30QxT9syyIfxX,
38,https://www.youtube.com/post/UgkxsD5LAk57cSbJpDSuX8U3wgHPMy4D7DSD,
39,https://www.youtube.com/post/UgkxNSy4Qh4m-Lx3z1cMj2ZBtHRal_OPmpQV,
40,https://www.youtube.com/post/Ugkx17Nb8PEevC6RycGI83OXZduMpDtnhEzP,
41,https://www.youtube.com/watch?v=1uhicRUUawU,DAY TRADER తెలుగు
42,https://www.youtube.com/watch?v=rHk4JiXtZYw,Money Purse { మనీ పర్స్ }
43,https://www.youtube.com/post/Ugkxa10GJk9JoQ-o7c1i9dnbmlLsD4BKEOq1,
44,https://www.youtube.com/post/UgkxQmPP718esXfVF1jpPu7YQNVP7EwL54je,JP Jewellers
45,https://www.youtube.com/watch?v=yx0abfdHY8Q,OEDRO
46,https://www.youtube.com/post/UgkxKShS2t79nuZfF_G3YjPCHTdEWW4kSLI_,Manoj Dey Vlogs
47,https://www.youtube.com/watch?v=xWC86v6p258,V.P FINANCIALS
48,https://www.youtube.com/watch?v=qeDTGV_qimA,Money Purse { మనీ పర్స్ }
49,https://www.youtube.com/post/UgkxVmUMFc4nQZqX2tdxS8XRjrVWStyCBWJ-,
50,https://www.youtube.com/post/Ugkxmq4k5vC_mrxI2S1Y8yNplDjrLFv-Duqq,Gareeb M_S Vlogs
51,https://www.youtube.com/post/UgkxRJvtMnNzOLjJk_VuNT4swDzlSMaQykEt,
52,https://www.youtube.com/post/Ugkx6hPE0dvy3kZeT0ELrv16aXK8L1wRdwQ1,
53,https://www.youtube.com/post/Ugkxb1RJNQ-17mrGzSsqtLtJsnlaaE0XGwqX,JP Jewellers
54,https://www.youtube.com/post/UgkxAaFyAz1Mi5gjLhif1ZVhdk-ZdlqD7L_R,Berojgar Tech
55,https://www.youtube.com/post/Ugkxd84rf73FQV_n69kM6B-_Z1MGYJA-MplK,D-tech Guptajii
56,https://www.youtube.com/post/Ugkx9sxUfVgTYlHA73JqYZg1ZbwBxJbdgqiy,𝐍𝐂𝐂 𝐖𝐀𝐑𝐑𝐈𝐎𝐑𝐒 🔰
57,https://www.youtube.com/post/UgkxIKHlwegfpzGik7_bSPwGef0K6NXaPGhw,
58,https://www.youtube.com/post/UgkxbOqDlXppSQ8G9WhX9PEaYK-Yh878Bjq4,Gaurav Sharma
59,https://www.youtube.com/post/UgkxIEx6vIN0KBHEANGftZW4VM4w0_2sOtEO,Varsha Singh Dhanoa
60,https://www.youtube.com/watch?v=L4XxrYMyQZw,Money Purse { మనీ పర్స్ }
61,https://www.youtube.com/watch?v=CmhPGHeVyFA,Money Purse { మనీ పర్స్ }
62,https://www.youtube.com/watch?v=Verm7AgGFKU,Money Purse { మనీ పర్స్ }
63,https://www.youtube.com/post/Ugkx1dsR0xfh-HQNX1kWeshflpV4icyhxsya,JP Jewellers
64,https://www.youtube.com/post/UgkxrVitimIMFPT7NzB8wOYUY06Vz9NxnLPc,
65,https://www.youtube.com/post/Ugkxt4s789un3IG2yzu-dHnUwjYi_kJTlh1h,
66,https://www.youtube.com/post/UgkxvA9Rw_wuuz2xTUtf5O2bLEtVAP3xjYtt,
67,https://www.youtube.com/post/UgkxVaCzPYkA9k7l5cXQCR1ah_p9dMzY8j0R,
68,https://www.youtube.com/post/UgkxqnfMVepfdJ9yShUF20eO1rF9fFD1jgl4,Sonu Rana Vines
69,https://www.youtube.com/post/UgkxQ4GIPJ7EllaFEa3QF6fgIVQVilW-JMJx,
70,https://www.youtube.com/post/UgkxatxOR0g58CuY7-riNgjc-XYKaBk-BC9f,
71,https://www.youtube.com/post/UgkxxQa6Q6BEorneNIQIGuE_3GwFqPV1ZCrP,
72,https://www.youtube.com/post/Ugkx-QJiB92xlzILRzCM-SxQJZAZVS8sR2EG,@Obito2.0YT195
73,https://www.youtube.com/post/Ugkx8TBLEMFgPUZmo8uCePHXuF0E_1onTBtg,Amal Kakkat
74,https://www.youtube.com/post/UgkxHoInd_AHAHnhERa4RwmblK8B3XCSvZWu,
75,https://www.youtube.com/post/UgkxsSrLEAcTTNZzM1TNPMtah5QYn3sC9sNP,
76,https://www.youtube.com/post/UgkxuzQ3Y3XOESIBGNDiP4FZqa3fPSOmat5l,
77,https://www.youtube.com/watch?v=PJ2_4me-P5g,Venom's Tech
78,https://www.youtube.com/post/Ugkx0fUa1PpqPq_TijI9c-GWYGhkVp7YA7bl,Manoj Dey Vlogs
79,https://www.youtube.com/post/UgkxPj0jgnqmj6c5DBgrg_b7XnLn8DIZ0xFo,
80,https://www.youtube.com/watch?v=XM7EBaAT5BI,Ansh Nakwal
81,https://www.youtube.com/post/Ugkxz4IT--T0OQF_MGlVd6Ql6xOiGJKZiEjS,@EnglishLyrics2.0
82,https://www.youtube.com/post/UgkxT0Tdchpsuu5RtEXKOSJAUdi1qFp8j_6n,Saurabh Pal Vlogs
83,https://www.youtube.com/watch?v=_yCGXyDJa8U,Money Purse { మనీ పర్స్ }
84,https://www.youtube.com/post/Ugkxx5bkZYf-c3PXTz8AAgDw5XQ5XilrS_SH,Mr Aditya Tech
85,https://www.youtube.com/post/UgkxBggGl932rR3cxnRug4dHmvwRVPQqbClV,Pam D'Souza
86,https://www.youtube.com/post/UgkxRbee0ikZZUU_Bspdgi6L0OkqfTN1_K2d,
87,https://www.youtube.com/watch?v=fscCla8QmuE,DAY TRADER తెలుగు
88,https://www.youtube.com/watch?v=TGV2b9eQ56w,Money Purse { మనీ పర్స్ }
89,https://www.youtube.com/post/Ugkxh0eq838iyoft4RjXue15WxRt6YrDH3hD,ᴇɴɢʟɪsʜ ʟʏʀɪᴄs
90,https://www.youtube.com/post/UgkxyDD1aPJYyXyMVaZRd2sAoXfZt68fq9uQ,
91,https://www.youtube.com/watch?v=RMnYMnaeNXk,Prasadtechintelugu
92,https://www.youtube.com/watch?v=hkUVijT2Ubs,Manoj Dey Vlogs
93,https://www.youtube.com/post/Ugkxyp9_g9Xh41IvUKY4n_pufW4LkgKDBk8N,
94,https://www.youtube.com/watch?v=eyB4I73PZfY,OEDRO
95,https://www.youtube.com/post/UgxxZbA3FKGy6JQbC5t4AaABCQ,Makholi Bande
96,https://www.youtube.com/watch?v=p-qw-sAMixc,Money Purse { మనీ పర్స్ }
97,https://www.youtube.com/post/UgkxLi6V7PM1vtjemu-CZX4XOmRMTil9P6dx,
98,https://www.youtube.com/watch?v=RsqG2wV2A8k,Money Purse { మనీ పర్స్ }
99,https://www.youtube.com/watch?v=Tlxwez5iVrc,SimpleGhar Hindi
100,https://www.youtube.com/c/OpeninApp,OpeninApp
101,https://www.youtube.com/channel/UCIGDcUqL2kKMdJCpIr_dfxg,OpeninApp
102,https://www.youtube.com/hashtag/openinapp,Inspiring Prashant
103,https://www.youtube.com/watch?v=vOo-VyPIiW0,spksunny
104,https://www.youtube.com/watch?v=O6lup3SN4Bw,OpeninApp
